,smile,activity
75,C1C2CC3CC1CC(C2)C3OC4=CC(=NC(=N4)Cl)Cl,Inactive
76,C1=CC=C2C3C4C(C(C2=C1)C5=CC=CC=C35)C(=O)C6=CC=CC=C6C4=O,Inactive
77,C1CN(CCN1C2=CC=CC=N2)C3=CC(=O)C4=C(C=CC(=C4C3=O)O)O,Inactive
78,CC1=C(C=CC(=C1)N(CCC#N)CCC#N)N=NC2=C(C=CC(=C2)Cl)Cl,Inactive
79,CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCC1=CC=CC=C1,Inactive
80,CCC(=O)N1C(=O)C(C(=O)N1C(=O)CC)(CC)CC,Inactive
81,CC1=CC(=O)C[C@]2([C@H]1C[C@H]3[C@@H](C2)OC(=O)C3=C)C,Inactive
82,C1CC2=CC=CC=C2C3=C(C1)C4=C(N3)C(=NNC4=O)C5=CC=CC=C5,Inactive
83,COC1=C(C=C2C(=C1)C3=C([C@@H]([C@@H]4CCCN4C3)O)C5=CC(=C(C=C25)OC)OC)OC,Active
84,C/C(=C(\[C@H]1[C@H](OC(O1)(C)C)[C@H]2COC(O2)(C)C)/C(=O)C3=CC=CC=C3)/NC(=O)C4=CC=CC=C4,Inactive
85,C1CC2CC[C@H]([N+]2([C@@H]1C3=CC=CC=C3)CC4=CC=CC=C4)C5=CC=CC=C5.[Cl-],Inactive
86,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=C(C5=C(C=C24)OCO5)O)COC3=O,Active
87,CC1=[N+](C2=C(N1CC(C)C)C(=O)C3=CC=CC=C3C2=O)CC(=O)C4=CC=C(C=C4)[N+](=O)[O-].[Br-],Active
88,C1CC(C1)(CNC2=CC(=NC(=N2)N)Cl)CO,Inactive
89,CC1CC2C(CC3(C1(CCC3=O)O)C)C(=C)C(=O)O2,Inactive
90,COC1=C(C=C(C=C1)C2=CC3=CC=CC=C3NC2=O)OC,Inactive
91,CC1=CC=C(C=C1)/C=C(/C2=NC3=CC=CC=C3N2)\NC(=O)C4=CC=CC=C4,Inactive
92,CCOC(=O)C1=CC2=C3CCN(C3=C(C(=C2N1)O)C(=O)C)C(=O)C,Inactive
93,COC(C1=CC=CC(=C1)C(C(F)(F)F)(C(F)(F)F)O)(C(F)(F)F)C(F)(F)F,Inactive
94,C1=CC=C(C=C1)CN2C(=O)C(=C(C2=O)Cl)NC3=CC=CC(=C3)C(=O)NC4=C(C=CC(=C4)C(F)(F)F)Cl,Inactive
95,C1=CC(=CC=C1C(/C(=N\NC(=O)C2=CC=NC=C2)/C3=NC4=C(C=C(C=C4)[N+](=O)[O-])NC3=O)O)[N+](=O)[O-],Inactive
96,COC12CCC(C=C1)C3=C(C=CC(=C23)O)O,Inactive
97,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C@H](C(=O)N2C1)CC3=CC=CC=C3)CC4=CC=CC=C4)CCCCN,Inactive
98,CC1=C(C(=O)C2=C(C1=O)C3C4C5C(CC(N5C)C(N4C2CO)C#N)C6N3CCO6)OC,Active
99,C1=CC=C(C=C1)C2=NC(=C(C(=N2)Cl)Cl)Cl,Inactive
100,CCN1CCC[C@H]1C2=CC(=C3C(=C2OC)C[C@H]4C[C@H]5[C@@H](C(=O)C(=C([C@]5(C(=O)C4=C3O)O)O)C(=O)N)N)O,Active
101,C1=CC(=CC=C1NCC(C(=O)O)N)O.Cl,Inactive
102,CC(C)CCNC(=O)C1=CC=C(C=C1)CNC(=O)/C=C/C2=CC3=CC=CC=C3C=C2,Inactive
103,CC1=CN=C(N=C1N2C=C(N=C2)C(=O)N[C@H](CN)C3=CC(=CC(=C3)Cl)F)NC4CCOCC4,Inactive
104,CC1CCC2([C@]3(C1=CC(=O)C(C3)O)C)OCCO2,Inactive
105,COC1=C(C=C(C=C1)/C=C(/C2=NC3=CC=CC=C3N2)\NC(=O)C4=CC=CC=C4)OC,Inactive
106,COC1=C(C=CC(=C1)CNC(=O)CCCCCCCC/C=C/Br)O,Inactive
107,CCCCN(CCCC)C(=NCC1=CC=CC=C1)NC#N,Inactive
108,C1=CC=C2C(=C1)C3=CC=CC=C3N2NC4=C(C=C(C=C4[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Active
109,CC(=O)O[C@@H]1CO[C@@H]([C@H]([C@@H]1OC(=O)C)OC(=O)C)N2C=NC(=C2C(=O)OC)[N+](=O)[O-],Inactive
110,CC(=O)NC1=CC2=C(C=C3C(=C2C=C1)C(CN3C(=O)CCCC(=O)N4CC(C5=C6C=CC(=CC6=C(C=C54)O)NC(=O)C)CCl)CCl)O,Active
111,C1CCN(CC1)C(=O)N(C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)Cl,Inactive
112,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)C6=C(N5)C=CC(=C6)O)OC)OC,Active
113,CN1CCN(CC1)C2=NC=C(C=C2)N3CC4=CC=CC=C4OC5=C3C(=O)C6=C(C=CC(=C6C5=O)O)O,Active
114,COCCOCCOCCOC1=CC=C(C=C1)C(C#N)N(CCC2=CC=CC=C2)C(=O)C3=CC(=CC(=C3)C(=O)N(CCC4=CC=CC=C4)C(C#N)C5=CC=C(C=C5)OCCOCCOCCOC)C(=O)N(CCC6=CC=CC=C6)C(C#N)C7=CC=C(C=C7)OCCOCCOCCOC,Inactive
115,C[C@H](C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)CNC(=O)/C=C/C3=CC(=CC=C3)OC4=CC=CC=C4,Inactive
116,COC1=CC=C(C=C1)C2=C(C(=O)N(C(=O)C2(Cl)Cl)C3=C(C=C(C=C3)OC)OC)Cl,Inactive
117,CCN(CC)CCN1C2=NC3=C(C=C(C=C3)Cl)N=C2C(=N1)N,Inactive
118,C1=C2C(=CC3=C1NC(=O)C(=O)N3)NC(=O)C(=O)N2,Inactive
119,CC(C)NC(=O)OCC1=C(N(C2=C1C=CC3=CC(=C(C=C32)Cl)Cl)C)COC(=O)NC(C)C,Inactive
120,CC1=CC(=CC(=C1C(=O)O)O)OC(=O)C2=C(C=C(C=C2C)OC(=O)C3=C(C(=C(C=C3O)O)O)C)OC,Inactive
121,C1=CC=C(C=C1)C#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive
122,CCCCCC(=O)OCCOCCOCCOCCOCCOCC1=CC=CC=C1,Inactive
123,CN1CCC(CC1)CNC2=NC=NC(=C2)C3(CC3)C(=O)NC4=C(C=CC(=C4)C(=O)NC5=CC(=C(C=C5)Cl)C(F)(F)F)F,Inactive
124,CN(C)C1=C2C(=CC=C3C2=C(C=C1)C(C(C34C=CC(=O)C5=C4C=CC=C5N(C)C)C6=CC=CC=C6)C7=CC=CC=C7)N(C)C,Inactive
125,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)C3CCCN3C(=O)[C@H](C)O)C)CC4=CC=CC=C4)C)CC(C)C)C)C(C)C)O,Active
126,CCOC(=O)C#CC1=C(N=NN1CC2=CC=C(C=C2)C(F)(F)F)C(=O)OCC,Inactive
127,C1CC2=COC3=C2C(=C(C=C3)[N+](=O)[O-])C1,Inactive
128,COCCOC(=O)NC(=O)NC1=CC=C(C=C1)/C(=N/O)/C2=CC=C(C=C2)Cl,Active
129,C1C2CC3CC1CC(C2)(C3)N=CC4=C(C=CC(=C4)F)F,Inactive
130,CC1=CC(=CC=C1)N(C)C(=O)[C@@H]2[C@@H](CCN2C3=NC(=CC(=C3C#N)C(F)(F)F)C)O,Inactive
131,CC(C(C(=O)O)N(CC1(C(C(C(CO1)O)O)O)O)N=O)O,Inactive
132,CC1=CN=C(N=C1C2=CN3C[C@@H](N(C(=O)C3=N2)CC4=CC(=C(C=C4)F)F)COC)NC5=CC=NN5C,Active
133,COC1=CC=C(C=C1)C#CC2=CC=CC=C2C#CCCCCO,Inactive
134,COC1=C(C=C(C=C1)/C=C/C2=CC(=CC(=C2)OC)OC)OC,Inactive
135,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Active
136,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,Active
137,C1=CC=C(C=C1)COC(=O)NC(=O)C2=CN(C(=O)NC2=O)CCNCCO,Inactive
138,C1=CC2C3C(C1C4C2C(=O)N(C4=O)COC(=O)CN)C5C3C(=O)N(C5=O)COC(=O)CN.C(=O)(C(F)(F)F)O,Inactive
139,CC(=O)OC(C)(C)N=NC1=CC=C(C=C1)Br,Inactive
140,C1[C@H]([C@@H]1N2C=CC(=O)NC2=O)CO,Inactive
141,CN(C1=NCCCCN1)NC(=O)CCCl.I,Inactive
142,CC1=NN(C(=O)C12C3(C2(C(N=C3N)(OC)OC)C#N)C#N)C(C)C,Inactive
143,CC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)C/C(=C\C5=CC(=C(C=C5)OCCCN6C=CN=C6)OC)/C4=O)C)C,Active
144,CCNC1C2(CCCCC2)C(=O)NC13CCCCC3,Inactive
145,CC1=CC=C(C=C1)C(=O)N2C(C3=CC=CN3N(C4=CC=CC=C42)C)CC(=O)O,Inactive
146,CC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3(CC(C4C5=COC(=O)C=C5)OC(=O)C)O)C)C,Active
147,CC(=O)O[C@H]1CC2CC3([C@@H]1C4([C@H](C(=O)[C@@H]3OC(=O)C)C([C@H](CC4OC(=O)C)O)(C)C)C)C(=O)C2=C,Inactive
148,CO/C(=N\N=C\C1=CC=CC=C1F)/C2=CC=NC=C2,Inactive
149,CN(C)CCN1C2=C3C(=C(C=C2)[N+](=O)[O-])NC4=C(C3=NC1=O)C=C(C=C4)O.Cl,Inactive
150,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)CC(=O)C(=O)NC3=CC=C(C=C3)Cl,Inactive
151,C1CC2C3C1C(C2=O)C(C3)N.Cl,Inactive
152,CC1C(C(C(C(O1)OC2CC3CCC4C(C3(C(C2)OC(=O)C)O)CCC5(C4(CCC5C6=CC(=O)OC6)O)C)O)OC)O,Inactive
153,CC1=CC(=C(C=C1)NC2=NN=C(O2)C3=CC4=C(C=C3)OCO4)C,Inactive
154,C/C(=N\NC(=O)CC#N)/C1=C[N+](=C2C=CC(=CC2=[N+]1[O-])OC)[O-],Inactive
155,COC1=CC2=C(C=C1)N3C=C4C=CC=CC4=C3C(=O)N2,Active
156,COC(=O)CC(=O)OC,Inactive
157,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)/C=N\NC(=O)CN)O.Cl,Inactive
158,C1C(C(C(C1N2C=CC(=NC2=O)N)O)O)CO,Inactive
159,C1=CC=C2C(=C1)C(C(=O)N2)(CC(=O)C3=CC(=C(C=C3)Cl)Cl)O,Inactive
160,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N6CCOCC6)O.Cl,Active
161,C[C@]1(CC(C2=C(C1)C(=O)C3=C(C2=O)C(=CC(=C3)OC)O)O)O,Inactive
162,CC1(/C(=C\C2=CC=CC=C2)/C(=O)C(C1(C)C)(C)C)C,Inactive
163,COC1=CC=C(C=C1)C2=NNN=C2C3=CC(=C4C(=C3OC)OCO4)OC,Inactive
164,CC(=O)OC1=C(C=C(C=C1)/C=C/C(=O)O[C@@H]2[C@H](CCCC2)OC(=O)/C=C/C3=CC(=C(C=C3)OC(=O)C)OC(=O)C)OC(=O)C,Inactive
165,CCN(CC)C1=CC=C(C=C1)/C=C/C=C\2/C(=O)NC(=O)N2,Inactive
166,C[C@@H](C[C@H](CC1=CC=CC=C1)NC(=O)C2=CC=CC(=N2)[C@@H](C[C@H](C(C)C)N(C)C(=O)[C@H](C3CC3)NC(=O)[C@H]4CCCCN4C)OC(=O)C)C(=O)OC,Active
167,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)O)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)O)C)N)C,Inactive
168,C1CCN(CC1)/C=C\C2=C3C(=NC=C2)C(=O)C4=CC=CC=C4C3=O,Inactive
169,CC1=C(O/C(=C/C(=O)OC)/C1=O)C2=CC=CC=C2,Inactive
170,C1CCC2(CC1)OOC3(CCC(CC3)CNC(=O)C4=CC=C(C=C4)C(=O)CC5(C6=C(C=CC(=C6)F)N(C5=O)CC7=CC=CC=C7)O)OO2,Active
171,C1=CC=C2C(=C1)C(OC2=O)C(C(=O)C3=CC(=C(C=C3)Cl)Cl)C(=O)C(=O)NC4=CC(=CC=C4)O,Inactive
172,COC1=CC=C(C=C1)N=NC2=C(CCC2=O)O,Inactive
173,C1=C(C(=O)NC(=O)N1)COCC(CO)O,Inactive
174,CC1([C@@H]2C[C@H]1C3=CN=C(C=C3[C@H]2[C@H]4[C@H]5C[C@H](C5(C)C)C6=CN=C(C=C46)C7=CC=CC=N7)C8=CC=CC=N8)C,Inactive
175,CC(=O)C1=CC=C(C=C1)NC2=C3C=COC3=NC4=CC=CC=C42,Inactive
176,CC(C)CCC1=C(N=C(N=C1Cl)Cl)Cl,Inactive
177,CCOC(=O)C1=CC2=C(C=C1)NC(=C2C(=NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(CC4)C)C5=CC=CC=C5)O,Inactive
178,CC(C)(C)N(C(=O)OC(C)(C)C)OCC=C,Inactive
179,CCC/C(=N/OC(C(F)(F)F)(C(F)(F)F)NC(=O)OCC)/Cl,Inactive
180,CN1CCC2=C1C3=C(N=C2C4=CC=CC=C4)N(CC3)C,Inactive
181,COC1=CC=C(C=C1)N2C(=O)C3C4CCCCCCCCCC4C5=C(C3C2=O)NC6=CC=CC=C65,Inactive
182,C1CCN(CC1)C2=NN(C(C2)C3=CC=CC=C3)C(=O)CC(=O)NC4=CC=C(C=C4)Cl,Inactive
183,C1=CC=C(C=C1)CCOC2=CN(C(=O)NC2=O)C3C(C(C(O3)CO)O)O,Inactive
184,CN(C)C(=NC#N)N(CC1=CC=CC=C1)CC2=CC=CC=C2,Inactive
185,CC1C(C2=CC3=C(C=C2OC1NNC4=CC=CC=C4)OCO3)C5=C(C(=CC=C5)OC)O,Inactive
186,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)O)C)O)(C)O)C)C)O)C,Inactive
187,C[C@@]12CC/C=C(\CC[C@@H]3[C@@H]([C@@H]1O2)OC(=O)C3=C)/CN4C=C(N=N4)CNCCC5=CNC6=C5C=C(C=C6)Cl,Inactive
188,C1=CC=C2C(=C1)N=C(O2)C(C(C3=CC=CO3)O)(F)F,Inactive
189,C1=CC=C(C=C1)NC2=CC(=O)C(=O)C3=C2N=CC=C3,Inactive
190,COC1=CC(=CC(=C1OC)OC)NC2=CN=C3C=CC(=CC3=N2)N,Inactive
191,CC(C(=O)NCC1=CC=CC=C1)C(=O)NCNC(=O)C2=CC=CC=C2,Inactive
192,CN(C)CC(C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)Cl)O,Inactive
193,CN(C1=NC(=NC(=N1)NCC(=O)OC)N(C)O)O,Inactive
194,COC(=O)[C@@H]1C(C12C=CC3=CC=CC=C3C=C2)C(=O)OC,Inactive
195,COC1=CC(=CC2=C1OCO2)C3C4=C(C=C5CCCC5=C4)NC6=C3C(=O)OC6,Inactive
196,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2Cl,Inactive
197,CC1=CC=C(C=C1)NC(=O)CC(=O)N2C(=O)C(C(=N2)C)N=NC3=CC=C(C=C3)C(=O)O,Inactive
198,CC(C)(C)OC(=O)N(CCCN1C2=C(C3=CC=CC=C3C1=O)C(=O)C4=CC=CC=C42)CCN(CCCN5C6=C(C7=CC=CC=C7C5=O)C(=O)C8=CC=CC=C86)C(=O)OC(C)(C)C,Inactive
199,C1=CC=C\2C(=C1)C3=C(/C2=C/C4=C(N=CC=C4)OCCN)C=C(C=C3)F,Inactive
200,COC(=O)C1=CC=CC(=C1)COC2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive
201,C1=CC=C2C(=C1)C(=NC3=CC=CC4=C3C=CC=N4)C(=O)N2,Inactive
202,C[C@H]1CCC/C(=C/CCC(=C)[C@@H](C[C@@H]2[C@H]([C@@H]1O)OC(=O)C2=C)O)/C,Inactive
203,C[C@@H]([C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N3CCC[C@H]3C(=O)N[C@H](C(=O)N[C@@H]4CCCC[C@@H](C(=O)N1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]5CCCN5C(=O)[C@@H](NC4=O)CC6=CC=CC=C6)CC(=O)O)CCCN=C(N)N)CC(C)C)CC(C)C)CO)CCCCN)O,Inactive
204,CN(C)CCN=C1C2=CC=CC=C2C3=C4C1=CC=CC4=C(N(C3=O)CCN(C)C)O.Cl,Active
205,CC(C)(C)N=C1N(C(=O)ON1C(C)(C)C)C2=CC=CC=C2,Inactive
206,CC1=NC2=C(C=C(C=C2)Br)C(=O)N1C3=CC=C(C=C3)NC4C(C(C(CO4)O)O)O,Inactive
207,CC1=CC(OC1=O)(C2=CC=C(C=C2)C3=CC=CC=C3Cl)O,Inactive
208,C1=CC=C2C(=C1)C3=CC(=NC=C3N2)C(=O)O,Inactive
209,CC(=O)C1=CC2=C(C=C1)C3(C4=C(O2)C=C(C=C4)OC(=O)C)C5=CC=CC=C5C(=O)O3,Inactive
